California Deaths by County -Total Population - Preliminary 2020 ,,,,
Any Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,,
County,Rates,95% LCL,95% UCL,Counts
Alameda,8.09,6.81,9.57,144
Alpine,0,NaN,686.06,0
Amador,13.07,6.17,35.58,4
Butte,11.54,7.52,17.37,26
Calaveras,7,12.01,24.71,2
California,13.21,12.85,13.57,5363
Colusa,14.72,5.35,47.28,3
Contra Costa,12.61,10.61,14.91,144
Del Norte,9.01,6.53,31.14,3
El Dorado,11.72,7.27,18.37,22
Fresno,6.67,5.17,8.52,68
Glenn,14.87,11.23,43.18,3
Humboldt,18.34,11.56,28.01,24
Imperial,19.07,13.08,27.21,32
Inyo,22.03,8,66.28,3
Kern,24.32,21.18,27.83,222
Kings,7.36,3.66,13.78,10
Lake,26.11,15.2,43.48,17
Lassen,18.12,8.35,41.99,7
Los Angeles,12.38,11.71,13.09,1298
Madera,4.87,1.99,10.25,7
Marin,14.06,9.4,20.44,33
Mariposa,0,NaN,36.25,0
Mendocino,25.84,15.9,40.36,20
Merced,9.98,6.79,14.48,29
Modoc,0,NaN,70.88,0
Mono,0,NaN,38.89,0
Monterey,5.85,3.77,8.73,25
Napa,4.27,2.52,9.85,7
Nevada,34.09,22.38,50.33,30
Orange,15.4,14.06,16.84,501
Placer,12.22,8.86,16.5,45
Plumas,6.28,6.84,43.77,1
Riverside,16.13,14.57,17.83,402
Sacramento,6.74,5.51,8.19,106
San Benito,6.33,1.72,17.12,4
San Bernardino,12.48,11.04,14.07,277
San Diego,15.14,13.87,16.52,528
San Francisco,43.68,39.59,48.23,434
San Joaquin,10.84,8.65,13.48,83
San Luis Obispo,20.56,15.33,27.21,57
San Mateo,9.92,7.84,12.45,80
Santa Barbara,3.54,2.06,5.94,16
Santa Clara,7.03,5.91,8.32,142
Santa Cruz,9.65,6.2,14.55,26
Shasta,15.95,10.68,23.55,26
Sierra,0,NaN,275.54,0
Siskiyou,19.37,12.09,42.02,7
Solano,8.71,6.22,12.02,39
Sonoma,23.69,19.39,28.76,111
Stanislaus,13.71,10.82,17.23,75
Sutter,10.35,7.75,18.88,11
Tehama,3.38,1.84,13.78,2
Trinity,0,NaN,51.18,0
Tulare,8.22,5.88,11.34,39
Tuolumne,3.48,5.29,15.7,2
Unknown,NaN,NaN,NaN,7
Ventura,17.07,14.36,20.2,141
Yolo,3.58,1.74,7.3,9
Yuba,10.64,7.41,20.99,9
Source: CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
